time,wx,wy,wz
0.005,-0.03,-0.06,0.03
0.005,-0.00,-0.04,0.02
0.005,0.01,-0.02,0.02
0.005,0.02,0.01,0.03
0.010,0.03,0.03,0.04
0.013,0.04,0.06,0.06
0.019,0.04,0.08,0.08
0.023,0.05,0.09,0.09
0.029,0.05,0.10,0.11
0.036,0.05,0.11,0.12
0.038,0.05,0.11,0.14
0.044,0.04,0.11,0.14
0.049,0.03,0.11,0.15
0.055,0.02,0.11,0.15
0.058,0.01,0.11,0.14
0.063,-0.01,0.11,0.13
0.069,-0.02,0.10,0.13
0.074,-0.03,0.09,0.12
0.078,-0.05,0.07,0.11
0.083,-0.06,0.03,0.10
0.096,-0.08,0.00,0.09
0.097,-0.09,-0.03,0.07
0.099,-0.11,-0.06,0.07
0.103,-0.12,-0.09,0.05
0.109,-0.13,-0.12,0.05
0.114,-0.15,-0.13,0.06
0.119,-0.16,-0.13,0.06
0.123,-0.17,-0.13,0.07
0.128,-0.18,-0.12,0.08
0.134,-0.19,-0.11,0.08
0.139,-0.19,-0.09,0.08
0.144,-0.18,-0.08,0.08
0.148,-0.17,-0.08,0.08
0.155,-0.17,-0.10,0.09
0.159,-0.16,-0.12,0.09
0.164,-0.16,-0.14,0.09
0.179,-0.16,-0.15,0.09
0.180,-0.16,-0.17,0.08
0.180,-0.16,-0.19,0.07
0.184,-0.15,-0.21,0.07
0.190,-0.14,-0.22,0.06
0.194,-0.13,-0.22,0.06
0.199,-0.10,-0.20,0.07
0.204,-0.08,-0.18,0.08
0.209,-0.05,-0.15,0.09
0.214,-0.02,-0.14,0.10
0.219,0.01,-0.14,0.11
0.224,0.02,-0.15,0.11
0.229,0.02,-0.16,0.10
0.234,0.01,-0.17,0.09
0.239,-0.02,-0.18,0.08
0.244,-0.05,-0.18,0.07
0.249,-0.09,-0.17,0.05
0.255,-0.13,-0.15,0.04
0.259,-0.16,-0.15,0.03
0.264,-0.20,-0.13,0.03
0.280,-0.21,-0.11,0.02
0.281,-0.21,-0.10,0.02
0.281,-0.20,-0.09,0.03
0.284,-0.18,-0.07,0.04
0.302,-0.15,-0.06,0.05
0.302,-0.11,-0.05,0.07
0.303,-0.05,-0.07,0.08
0.314,0.03,-0.08,0.10
0.315,0.12,-0.08,0.12
0.315,0.19,-0.07,0.14
0.319,0.26,-0.06,0.15
0.323,0.30,-0.04,0.17
0.329,0.32,0.03,0.19
0.334,0.35,0.08,0.20
0.339,0.36,0.13,0.21
0.344,0.37,0.17,0.22
