time,wx,wy,wz
0.003,-0.11,-0.12,-0.05
0.003,-0.14,-0.13,-0.06
0.003,-0.15,-0.15,-0.06
0.003,-0.13,-0.17,-0.06
0.003,-0.09,-0.23,-0.05
0.003,-0.02,-0.28,-0.04
0.011,0.04,-0.31,-0.04
0.022,0.10,-0.30,-0.05
0.023,0.14,-0.26,-0.07
0.023,0.16,-0.18,-0.08
0.029,0.17,-0.12,-0.09
0.033,0.17,-0.07,-0.09
0.037,0.16,-0.04,-0.08
0.044,0.14,-0.02,-0.07
0.048,0.12,0.01,-0.06
0.053,0.08,0.03,-0.06
0.058,0.06,0.05,-0.06
0.063,0.04,0.06,-0.06
0.068,0.02,0.06,-0.06
0.073,0.01,0.06,-0.06
0.082,-0.00,0.06,-0.05
0.083,-0.01,0.06,-0.04
0.088,-0.01,0.06,-0.03
0.093,-0.02,0.06,-0.02
0.098,-0.02,0.05,-0.01
0.103,-0.02,0.04,-0.01
0.109,-0.01,0.02,-0.01
0.113,-0.00,0.02,-0.01
0.118,-0.00,0.02,-0.01
0.123,-0.00,0.01,-0.02
0.128,-0.01,0.01,-0.02
0.133,-0.01,0.00,-0.02
0.137,-0.02,0.00,-0.02
0.143,-0.02,-0.01,-0.02
0.148,-0.03,-0.01,-0.02
0.153,-0.03,-0.01,-0.01
0.159,-0.02,-0.00,-0.01
0.163,-0.01,0.02,0.00
0.168,0.02,0.04,0.01
0.173,0.05,0.06,0.02
0.178,0.08,0.07,0.02
0.183,0.11,0.10,0.02
0.188,0.13,0.13,0.02
0.207,0.15,0.15,0.03
0.208,0.16,0.17,0.03
0.208,0.18,0.18,0.03
0.209,0.19,0.17,0.03
0.213,0.20,0.16,0.03
0.218,0.20,0.14,0.03
0.223,0.19,0.13,0.03
0.228,0.17,0.11,0.03
0.233,0.16,0.09,0.02
0.238,0.14,0.08,0.02
0.243,0.13,0.06,0.01
0.248,0.12,0.04,0.01
0.253,0.12,0.02,0.00
0.259,0.12,0.01,0.00
0.263,0.12,-0.00,-0.01
0.268,0.13,-0.00,-0.01
0.273,0.14,-0.01,-0.02
0.279,0.15,-0.01,-0.02
0.283,0.15,-0.01,-0.02
0.288,0.17,0.00,-0.03
0.304,0.18,0.02,-0.03
0.305,0.20,0.03,-0.03
0.305,0.24,0.03,-0.03
0.309,0.27,0.04,-0.03
0.313,0.30,0.04,-0.03
0.318,0.34,0.04,-0.04
0.324,0.37,0.03,-0.04
0.329,0.39,0.02,-0.06
0.333,0.42,0.01,-0.07
0.338,0.44,-0.01,-0.09
0.343,0.47,-0.04,-0.10
0.349,0.50,-0.07,-0.11
0.354,0.53,-0.07,-0.12
0.359,0.55,-0.05,-0.11
0.363,0.58,-0.03,-0.09
0.368,0.62,-0.02,-0.07
0.373,0.68,-0.02,-0.04
0.378,0.75,-0.02,0.00
0.383,0.82,-0.01,0.04
0.389,0.88,0.00,0.08
0.404,0.93,0.03,0.12
0.405,0.98,0.05,0.17
0.405,1.03,0.05,0.21
0.410,1.06,0.04,0.25
0.415,1.09,0.00,0.29
0.418,1.10,-0.06,0.33
0.423,1.09,-0.13,0.37
0.429,1.06,-0.20,0.40
0.433,0.97,-0.26,0.41
0.438,0.83,-0.30,0.42
0.443,0.65,-0.34,0.40
0.449,0.49,-0.42,0.38
0.453,0.37,-0.53,0.35
0.459,0.27,-0.64,0.32
0.463,0.20,-0.73,0.29
0.469,0.15,-0.79,0.28
0.473,0.13,-0.81,0.28
0.488,0.13,-0.80,0.29
0.488,0.15,-0.79,0.31
0.488,0.16,-0.78,0.33
0.493,0.15,-0.76,0.35
0.498,0.13,-0.75,0.35
0.503,0.13,-0.76,0.33
0.510,0.13,-0.76,0.31
0.513,0.14,-0.77,0.29
0.519,0.15,-0.78,0.27
0.524,0.16,-0.78,0.25
0.530,0.17,-0.76,0.24
0.534,0.17,-0.74,0.23
0.539,0.16,-0.71,0.21
0.544,0.13,-0.68,0.20
0.549,0.10,-0.64,0.19
0.554,0.09,-0.55,0.18
0.559,0.09,-0.41,0.17
0.564,0.10,-0.27,0.17
0.569,0.14,-0.13,0.19
0.573,0.18,0.03,0.21
0.589,0.25,0.22,0.24
0.589,0.34,0.47,0.26
0.590,0.44,0.76,0.28
0.594,0.53,1.07,0.30
0.598,0.63,1.36,0.32
0.603,0.69,1.59,0.33
0.609,0.66,1.63,0.36
0.614,0.55,1.35,0.43
0.618,0.48,0.96,0.52
0.623,0.43,0.58,0.59
0.629,0.30,0.24,0.62
0.634,0.14,0.01,0.60
0.639,0.01,-0.11,0.55
0.644,-0.08,-0.18,0.49
0.653,-0.13,-0.20,0.44
0.654,-0.12,-0.16,0.41
0.659,-0.07,-0.06,0.39
0.664,0.01,0.06,0.38
0.669,0.09,0.17,0.36
0.673,0.16,0.25,0.33
0.688,0.21,0.27,0.32
0.689,0.24,0.24,0.30
0.689,0.25,0.18,0.29
0.693,0.25,0.10,0.28
0.698,0.24,0.02,0.26
0.703,0.23,-0.05,0.24
0.710,0.23,-0.13,0.21
0.714,0.27,-0.17,0.20
0.718,0.35,-0.16,0.18
0.724,0.46,-0.10,0.17
0.729,0.59,-0.03,0.16
0.733,0.69,0.07,0.15
0.738,0.76,0.15,0.14
0.744,0.79,0.22,0.13
0.749,0.79,0.27,0.13
0.754,0.76,0.30,0.12
0.758,0.70,0.33,0.10
0.763,0.64,0.26,0.06
0.769,0.61,-0.05,0.02
0.774,0.59,-0.32,-0.05
0.793,0.54,-0.06,-0.16
0.794,0.51,0.17,-0.25
0.794,0.51,0.10,-0.30
0.795,0.52,0.05,-0.30
0.799,0.54,0.12,-0.28
0.804,0.59,0.24,-0.22
0.809,0.65,0.38,-0.12
0.814,0.73,0.52,0.01
0.819,0.81,0.65,0.16
0.823,0.90,0.79,0.31
0.835,1.00,0.91,0.44
0.836,1.09,1.02,0.54
0.838,1.16,1.09,0.61
0.848,1.22,1.12,0.65
0.848,1.25,1.13,0.66
0.853,1.24,1.13,0.66
0.859,1.20,1.10,0.65
0.864,1.13,1.07,0.64
0.868,1.03,0.99,0.62
0.873,0.90,0.88,0.59
0.881,0.75,0.73,0.54
0.883,0.57,0.55,0.49
0.889,0.39,0.35,0.41
0.894,0.23,0.16,0.30
0.898,0.11,-0.01,0.17
0.903,0.04,-0.17,0.07
0.909,-0.02,-0.32,0.01
0.913,-0.08,-0.45,-0.00
0.919,-0.15,-0.56,0.02
0.923,-0.23,-0.64,0.06
0.928,-0.30,-0.69,0.09
0.934,-0.36,-0.71,0.10
0.939,-0.41,-0.70,0.09
0.944,-0.46,-0.67,0.07
0.949,-0.49,-0.63,0.06
0.953,-0.50,-0.58,0.05
0.959,-0.48,-0.51,0.04
0.964,-0.45,-0.43,0.02
0.969,-0.42,-0.34,-0.01
0.974,-0.38,-0.26,-0.03
0.986,-0.33,-0.19,-0.03
0.986,-0.28,-0.12,0.01
0.993,-0.24,-0.07,0.08
0.994,-0.20,-0.04,0.18
1.008,-0.17,-0.01,0.26
1.009,-0.16,0.01,0.31
1.009,-0.19,0.03,0.32
1.019,-0.26,0.05,0.32
1.019,-0.33,0.05,0.32
1.023,-0.39,0.02,0.31
1.032,-0.43,-0.02,0.30
1.034,-0.47,-0.06,0.28
1.039,-0.49,-0.09,0.25
1.044,-0.52,-0.12,0.20
1.049,-0.54,-0.14,0.11
1.054,-0.53,-0.18,-0.02
1.059,-0.47,-0.25,-0.14
1.063,-0.40,-0.35,-0.24
1.068,-0.33,-0.44,-0.28
1.073,-0.26,-0.53,-0.26
1.081,-0.23,-0.59,-0.19
1.084,-0.23,-0.61,-0.08
1.089,-0.25,-0.59,0.03
1.095,-0.27,-0.56,0.11
1.098,-0.29,-0.52,0.16
1.103,-0.29,-0.52,0.17
1.109,-0.27,-0.54,0.15
1.113,-0.23,-0.59,0.09
1.118,-0.19,-0.63,0.01
1.123,-0.14,-0.70,-0.07
1.129,-0.09,-0.77,-0.13
1.134,-0.05,-0.83,-0.16
1.139,-0.01,-0.84,-0.16
1.144,0.03,-0.79,-0.11
1.149,0.06,-0.69,-0.04
1.154,0.09,-0.56,0.04
1.159,0.12,-0.39,0.09
1.164,0.14,-0.22,0.09
1.169,0.14,-0.06,0.07
1.174,0.12,0.10,0.04
1.186,0.10,0.24,0.03
1.186,0.07,0.29,0.01
1.189,0.05,0.28,0.00
1.194,0.04,0.27,-0.00
1.206,0.03,0.26,0.00
1.207,0.01,0.24,0.00
1.209,-0.01,0.21,0.01
1.216,-0.05,0.19,0.01
1.219,-0.08,0.19,0.02
1.224,-0.12,0.19,0.02
1.229,-0.15,0.18,0.02
1.234,-0.18,0.16,0.02
1.239,-0.20,0.15,0.02
1.245,-0.22,0.15,0.04
1.249,-0.24,0.15,0.05
1.254,-0.26,0.15,0.06
1.258,-0.28,0.15,0.07
1.264,-0.29,0.16,0.08
1.269,-0.29,0.17,0.08
1.274,-0.29,0.16,0.08
1.286,-0.28,0.16,0.08
1.287,-0.27,0.16,0.08
1.291,-0.25,0.18,0.08
1.306,-0.23,0.19,0.07
1.307,-0.21,0.21,0.06
1.307,-0.19,0.22,0.05
1.309,-0.17,0.23,0.04
1.317,-0.16,0.23,0.02
1.319,-0.14,0.24,0.02
1.324,-0.12,0.23,0.02
1.329,-0.10,0.22,0.02
1.334,-0.08,0.20,0.03
1.339,-0.08,0.18,0.03
1.344,-0.07,0.16,0.04
1.349,-0.08,0.14,0.05
1.354,-0.09,0.13,0.06
1.359,-0.12,0.12,0.07
1.364,-0.15,0.10,0.06
1.369,-0.17,0.08,0.05
1.374,-0.18,0.05,0.05
1.388,-0.19,0.02,0.05
1.388,-0.19,0.00,0.04
1.392,-0.19,-0.00,0.04
1.394,-0.20,0.01,0.04
1.410,-0.20,0.02,0.04
1.411,-0.20,0.04,0.04
1.411,-0.21,0.05,0.03
1.418,-0.21,0.05,0.02
1.419,-0.22,0.05,0.01
1.424,-0.22,0.05,0.00
1.429,-0.22,0.04,-0.00
1.434,-0.22,0.02,-0.01
1.439,-0.22,-0.00,-0.01
1.444,-0.21,-0.02,-0.01
1.450,-0.20,-0.02,-0.02
1.455,-0.19,-0.02,-0.02
1.459,-0.18,-0.03,-0.02
1.464,-0.17,-0.02,-0.02
1.469,-0.16,-0.00,-0.02
1.474,-0.15,0.01,-0.02
1.487,-0.14,0.01,-0.01
1.488,-0.14,0.02,-0.01
1.491,-0.14,0.02,-0.00
1.494,-0.13,0.01,-0.00
1.506,-0.13,0.01,-0.00
1.507,-0.13,0.01,-0.01
1.509,-0.14,0.01,-0.01
1.517,-0.14,-0.00,-0.02
1.519,-0.13,-0.01,-0.03
1.524,-0.13,-0.02,-0.04
1.530,-0.12,-0.03,-0.05
1.534,-0.11,-0.03,-0.06
1.539,-0.09,-0.03,-0.08
1.544,-0.08,-0.02,-0.10
1.550,-0.06,-0.02,-0.11
1.554,-0.05,0.01,-0.13
1.559,-0.03,0.04,-0.15
1.564,-0.02,0.07,-0.16
1.570,-0.00,0.09,-0.17
1.575,0.03,0.11,-0.17
1.588,0.07,0.12,-0.18
1.589,0.11,0.15,-0.19
1.589,0.14,0.18,-0.20
1.595,0.15,0.22,-0.21
1.615,0.17,0.24,-0.21
1.615,0.18,0.25,-0.20
1.615,0.19,0.26,-0.19
1.616,0.20,0.25,-0.18
1.619,0.22,0.23,-0.16
1.624,0.23,0.22,-0.15
1.630,0.23,0.21,-0.14
1.634,0.23,0.21,-0.12
1.640,0.22,0.19,-0.10
1.645,0.22,0.18,-0.08
1.650,0.18,0.19,-0.06
1.655,0.08,0.23,-0.02
1.659,-0.06,0.25,0.05
1.664,-0.16,0.19,0.13
1.669,-0.16,0.04,0.16
1.674,-0.10,-0.13,0.13
1.683,-0.04,-0.25,0.08
1.684,0.00,-0.33,0.05
1.690,0.05,-0.38,0.00
1.694,0.10,-0.42,-0.04
1.700,0.15,-0.44,-0.04
1.704,0.17,-0.44,-0.01
1.710,0.17,-0.44,0.04
1.715,0.15,-0.44,0.11
1.719,0.13,-0.40,0.19
1.724,0.09,-0.33,0.25
1.730,0.04,-0.25,0.29
1.734,-0.02,-0.16,0.30
1.739,-0.09,-0.08,0.30
1.744,-0.14,-0.05,0.30
1.749,-0.18,-0.03,0.31
1.754,-0.23,-0.01,0.32
1.759,-0.27,0.03,0.31
