time,wx,wy,wz
0.007,0.11,0.14,-0.02
0.008,0.10,0.09,-0.02
0.009,0.10,0.02,-0.02
0.009,0.10,-0.04,-0.03
0.009,0.12,-0.11,-0.05
0.009,0.13,-0.15,-0.08
0.009,0.14,-0.18,-0.11
0.010,0.14,-0.18,-0.13
0.010,0.12,-0.16,-0.13
0.010,0.09,-0.12,-0.12
0.010,0.04,-0.08,-0.09
0.010,-0.01,-0.02,-0.05
0.013,-0.05,0.02,-0.02
0.018,-0.09,0.05,0.01
0.024,-0.11,0.06,0.03
0.033,-0.13,0.06,0.04
0.033,-0.13,0.05,0.05
0.038,-0.11,0.05,0.04
0.043,-0.10,0.04,0.04
0.048,-0.08,0.01,0.05
0.053,-0.06,-0.01,0.05
0.060,-0.05,-0.02,0.06
0.064,-0.04,-0.02,0.06
0.069,-0.03,-0.02,0.05
0.078,-0.03,-0.02,0.04
0.079,-0.03,-0.01,0.03
0.084,-0.03,0.00,0.01
0.088,-0.03,0.02,-0.00
0.094,-0.03,0.03,-0.01
0.099,-0.03,0.03,-0.02
0.104,-0.02,0.04,-0.02
0.109,-0.01,0.04,-0.02
0.115,-0.01,0.04,-0.02
0.119,-0.00,0.03,-0.01
0.126,0.00,0.02,-0.01
0.129,0.00,0.02,-0.01
0.134,0.00,0.01,-0.01
0.140,0.01,0.01,-0.01
0.144,0.02,0.00,-0.01
0.149,0.02,-0.01,-0.01
0.154,0.02,-0.02,-0.01
0.167,0.03,-0.03,-0.00
0.167,0.03,-0.03,0.01
0.169,0.03,-0.03,0.02
0.175,0.03,-0.02,0.03
0.179,0.03,-0.02,0.03
0.184,0.03,-0.01,0.04
0.189,0.04,-0.01,0.04
0.194,0.04,-0.01,0.04
0.199,0.05,0.00,0.03
0.204,0.05,0.01,0.03
0.208,0.06,0.02,0.03
0.214,0.06,0.04,0.02
0.219,0.06,0.06,0.02
0.224,0.05,0.07,0.01
0.229,0.05,0.08,0.01
0.234,0.05,0.08,0.01
0.239,0.04,0.07,0.01
0.252,0.04,0.07,0.02
0.252,0.04,0.07,0.02
0.254,0.03,0.06,0.02
0.259,0.03,0.05,0.01
0.264,0.02,0.04,0.00
0.269,0.02,0.03,-0.01
0.275,0.02,0.01,-0.01
0.279,0.01,-0.00,-0.01
0.283,0.00,0.00,-0.02
0.288,-0.00,0.01,-0.02
0.294,-0.00,0.01,-0.02
0.298,0.00,0.01,-0.02
0.303,0.01,0.01,-0.02
0.309,0.02,0.02,-0.02
0.314,0.03,0.03,-0.02
0.319,0.04,0.04,-0.03
0.326,0.05,0.05,-0.04
0.330,0.05,0.06,-0.05
0.334,0.05,0.07,-0.06
0.339,0.04,0.08,-0.07
0.344,0.03,0.09,-0.08
0.349,0.02,0.09,-0.09
0.354,0.01,0.07,-0.11
0.370,-0.01,0.05,-0.12
0.371,-0.04,0.03,-0.14
0.371,-0.07,-0.00,-0.16
0.374,-0.11,-0.05,-0.20
0.379,-0.15,-0.11,-0.24
0.384,-0.19,-0.16,-0.29
0.389,-0.23,-0.21,-0.33
0.395,-0.27,-0.21,-0.37
0.399,-0.30,-0.22,-0.39
0.404,-0.31,-0.21,-0.41
0.410,-0.32,-0.18,-0.42
0.414,-0.31,-0.14,-0.44
0.419,-0.30,-0.07,-0.46
0.424,-0.28,0.01,-0.48
0.430,-0.25,0.09,-0.49
0.434,-0.21,0.18,-0.48
0.440,-0.16,0.26,-0.45
0.453,-0.11,0.32,-0.41
0.454,-0.05,0.36,-0.38
0.455,0.00,0.40,-0.35
0.459,0.06,0.43,-0.33
0.465,0.11,0.43,-0.31
0.469,0.15,0.43,-0.29
0.475,0.19,0.43,-0.27
0.480,0.22,0.42,-0.26
0.484,0.25,0.40,-0.24
0.489,0.26,0.35,-0.23
0.495,0.26,0.32,-0.22
0.499,0.25,0.28,-0.21
0.504,0.23,0.23,-0.20
0.509,0.21,0.18,-0.20
0.515,0.18,0.14,-0.19
0.519,0.15,0.09,-0.17
0.525,0.12,0.06,-0.16
0.530,0.10,0.03,-0.14
