time,wx,wy,wz
0.004,-1.01,0.46,-0.88
0.004,-1.25,0.58,-0.97
0.005,-1.46,0.72,-1.07
0.005,-1.65,0.89,-1.17
0.005,-1.79,1.07,-1.27
0.005,-1.88,1.26,-1.35
0.005,-1.92,1.44,-1.43
0.006,-1.92,1.65,-1.51
0.015,-1.88,1.85,-1.55
0.015,-1.83,2.01,-1.55
0.022,-1.78,2.12,-1.50
0.025,-1.76,2.11,-1.40
0.030,-1.76,1.88,-1.25
0.036,-1.81,1.35,-1.05
0.040,-1.93,0.96,-0.86
0.045,-2.07,0.77,-0.70
0.050,-2.22,0.70,-0.58
0.055,-2.35,0.68,-0.48
0.060,-2.42,0.70,-0.40
0.066,-2.38,0.74,-0.32
0.070,-2.24,0.76,-0.24
0.075,-2.03,0.71,-0.17
0.080,-1.79,0.59,-0.10
0.085,-1.55,0.43,-0.04
0.090,-1.36,0.21,-0.00
0.095,-1.24,-0.09,0.04
0.100,-1.17,-0.40,0.10
0.105,-1.15,-0.70,0.16
0.110,-1.17,-0.96,0.22
0.127,-1.21,-1.15,0.27
0.128,-1.28,-1.24,0.31
0.128,-1.36,-1.24,0.34
0.130,-1.43,-1.18,0.34
0.135,-1.49,-1.11,0.32
0.140,-1.52,-1.02,0.26
0.145,-1.52,-0.91,0.18
0.152,-1.48,-0.79,0.08
0.155,-1.40,-0.66,-0.04
0.160,-1.28,-0.52,-0.17
0.165,-1.14,-0.40,-0.28
0.171,-0.98,-0.30,-0.37
0.176,-0.80,-0.23,-0.43
0.181,-0.61,-0.19,-0.47
0.186,-0.43,-0.17,-0.52
0.190,-0.27,-0.14,-0.54
0.196,-0.13,-0.09,-0.50
0.200,-0.03,0.04,-0.42
0.206,0.05,0.28,-0.32
0.211,0.11,0.63,-0.18
0.216,0.16,1.04,-0.03
0.220,0.21,1.45,0.13
0.225,0.27,1.78,0.27
0.230,0.36,1.96,0.38
0.244,0.47,1.99,0.45
0.244,0.60,1.91,0.49
0.245,0.74,1.81,0.51
0.250,0.86,1.78,0.52
0.255,0.96,1.83,0.54
0.260,1.03,1.96,0.57
0.265,1.05,2.10,0.63
0.270,1.01,2.24,0.72
0.275,0.92,2.35,0.82
0.280,0.80,2.41,0.95
0.285,0.66,2.42,1.06
0.290,0.50,2.33,1.16
0.296,0.36,2.14,1.24
0.301,0.22,1.88,1.28
0.305,0.07,1.61,1.28
0.310,-0.09,1.37,1.24
0.327,-0.25,1.14,1.18
0.328,-0.38,0.92,1.13
0.328,-0.48,0.68,1.10
0.330,-0.54,0.43,1.10
0.336,-0.54,0.22,1.13
0.340,-0.51,0.07,1.16
0.345,-0.45,-0.06,1.20
0.351,-0.37,-0.20,1.24
0.355,-0.30,-0.28,1.27
0.360,-0.22,-0.27,1.28
0.365,-0.14,-0.15,1.29
0.370,-0.05,0.05,1.28
0.376,0.04,0.29,1.25
0.381,0.15,0.51,1.20
0.385,0.27,0.68,1.14
0.390,0.40,0.77,1.07
0.395,0.53,0.78,1.00
0.400,0.65,0.72,0.94
0.405,0.73,0.63,0.89
0.410,0.79,0.53,0.84
0.428,0.83,0.41,0.79
0.428,0.82,0.28,0.71
0.428,0.77,0.17,0.61
0.430,0.68,0.08,0.47
0.436,0.57,0.00,0.32
0.440,0.45,-0.06,0.15
0.445,0.32,-0.10,-0.04
0.452,0.21,-0.11,-0.22
0.456,0.10,-0.13,-0.39
0.460,0.00,-0.21,-0.53
0.465,-0.09,-0.37,-0.66
0.471,-0.17,-0.65,-0.77
0.475,-0.25,-1.03,-0.83
0.480,-0.30,-1.41,-0.85
0.486,-0.33,-1.73,-0.87
0.490,-0.34,-1.95,-0.89
0.496,-0.35,-2.06,-0.92
0.501,-0.35,-2.06,-0.94
0.505,-0.36,-1.98,-0.95
0.510,-0.36,-1.84,-0.96
0.516,-0.35,-1.68,-0.95
0.521,-0.31,-1.52,-0.95
0.525,-0.25,-1.39,-0.95
0.530,-0.17,-1.31,-0.95
0.545,-0.07,-1.29,-0.96
0.546,0.03,-1.33,-0.98
0.546,0.12,-1.39,-0.99
0.551,0.18,-1.49,-1.00
0.558,0.19,-1.60,-1.01
0.561,0.17,-1.69,-1.00
0.566,0.09,-1.78,-0.98
0.572,-0.02,-1.86,-0.94
0.576,-0.13,-1.93,-0.88
0.580,-0.23,-1.97,-0.84
0.586,-0.31,-2.00,-0.79
0.590,-0.36,-1.98,-0.73
0.596,-0.35,-1.88,-0.67
0.601,-0.24,-1.74,-0.59
0.605,-0.06,-1.60,-0.50
0.610,0.17,-1.48,-0.42
0.616,0.42,-1.38,-0.36
0.621,0.63,-1.29,-0.33
0.626,0.82,-1.23,-0.31
0.631,0.95,-1.23,-0.29
0.645,1.01,-1.27,-0.27
0.646,1.03,-1.33,-0.25
0.646,1.00,-1.41,-0.23
0.653,0.92,-1.49,-0.20
0.657,0.82,-1.59,-0.16
0.661,0.71,-1.69,-0.12
0.667,0.61,-1.81,-0.09
0.670,0.52,-1.92,-0.03
0.676,0.46,-2.00,0.04
0.681,0.42,-2.04,0.12
0.686,0.39,-2.04,0.21
0.691,0.37,-2.01,0.28
0.696,0.33,-1.95,0.34
0.701,0.28,-1.90,0.38
0.706,0.19,-1.89,0.40
0.711,0.10,-1.89,0.37
0.733,-0.01,-1.93,0.31
0.733,-0.11,-2.00,0.22
0.733,-0.20,-2.08,0.15
0.734,-0.28,-2.14,0.09
0.735,-0.34,-2.18,0.06
0.741,-0.38,-2.19,0.05
0.745,-0.38,-2.17,0.06
0.751,-0.38,-2.12,0.09
0.756,-0.36,-2.03,0.12
0.761,-0.33,-1.91,0.13
0.765,-0.30,-1.79,0.12
0.770,-0.27,-1.69,0.10
0.775,-0.26,-1.61,0.05
0.780,-0.27,-1.55,-0.02
0.785,-0.29,-1.50,-0.11
0.790,-0.32,-1.44,-0.19
0.795,-0.35,-1.36,-0.25
0.801,-0.36,-1.19,-0.31
0.805,-0.33,-0.85,-0.37
0.810,-0.27,-0.36,-0.42
0.816,-0.21,0.16,-0.49
0.821,-0.21,0.58,-0.58
0.826,-0.26,0.85,-0.69
0.831,-0.34,0.98,-0.83
0.845,-0.41,1.02,-0.99
0.846,-0.42,1.00,-1.15
0.846,-0.39,0.96,-1.30
0.851,-0.33,0.91,-1.40
0.856,-0.28,0.81,-1.46
0.861,-0.31,0.69,-1.51
0.865,-0.33,0.75,-1.53
0.871,-0.34,0.93,-1.51
0.876,-0.31,1.07,-1.49
0.881,-0.26,1.11,-1.46
0.886,-0.19,1.03,-1.43
0.891,-0.11,0.91,-1.41
0.896,-0.04,0.80,-1.41
0.901,-0.00,0.69,-1.43
0.906,0.02,0.55,-1.44
0.911,0.04,0.42,-1.42
0.916,0.05,0.35,-1.37
0.921,0.05,0.31,-1.28
0.925,0.04,0.28,-1.18
0.931,0.02,0.28,-1.10
0.940,0.01,0.35,-1.05
0.941,0.01,0.42,-1.04
0.946,0.02,0.46,-1.08
0.957,0.02,0.48,-1.17
0.958,0.02,0.52,-1.28
0.962,0.01,0.58,-1.39
0.966,0.00,0.66,-1.46
0.972,-0.01,0.74,-1.50
0.977,-0.03,0.80,-1.52
0.981,-0.05,0.76,-1.55
0.987,-0.04,0.63,-1.61
0.991,-0.04,0.61,-1.64
0.997,-0.08,0.72,-1.64
1.002,-0.17,0.86,-1.61
1.006,-0.28,0.94,-1.59
1.012,-0.42,0.98,-1.59
1.016,-0.56,1.01,-1.65
1.021,-0.69,1.07,-1.74
1.026,-0.81,1.13,-1.81
1.032,-0.91,1.18,-1.85
1.042,-0.99,1.21,-1.87
1.044,-1.06,1.26,-1.89
1.047,-1.13,1.32,-1.89
1.061,-1.17,1.39,-1.88
1.063,-1.19,1.47,-1.82
1.063,-1.16,1.57,-1.72
1.066,-1.11,1.67,-1.57
1.076,-1.04,1.74,-1.41
1.076,-0.96,1.80,-1.25
1.081,-0.88,1.85,-1.14
1.087,-0.80,1.90,-1.08
1.091,-0.75,1.93,-1.07
1.096,-0.69,1.95,-1.06
1.102,-0.64,1.96,-1.06
1.106,-0.60,1.96,-1.05
1.111,-0.57,1.93,-1.04
1.116,-0.56,1.87,-1.04
1.121,-0.55,1.78,-1.05
1.126,-0.53,1.67,-1.07
1.131,-0.49,1.58,-1.10
1.142,-0.42,1.49,-1.16
1.144,-0.25,1.41,-1.24
1.147,-0.03,1.38,-1.33
1.151,0.20,1.39,-1.42
1.158,0.43,1.35,-1.52
1.161,0.67,1.26,-1.63
1.165,0.91,1.13,-1.73
1.171,1.13,0.97,-1.80
1.176,1.32,0.81,-1.83
1.182,1.48,0.72,-1.81
1.186,1.57,0.69,-1.71
1.192,1.58,0.72,-1.54
1.198,1.50,0.71,-1.34
1.202,1.32,0.66,-1.12
1.206,1.07,0.62,-0.89
1.211,0.76,0.61,-0.66
1.216,0.40,0.58,-0.44
1.221,0.03,0.54,-0.24
1.226,-0.34,0.52,-0.05
1.231,-0.68,0.54,0.11
1.238,-0.97,0.59,0.23
1.241,-1.20,0.63,0.31
1.246,-1.37,0.63,0.34
1.252,-1.49,0.65,0.34
1.256,-1.55,0.72,0.30
1.261,-1.57,0.81,0.23
1.266,-1.53,0.90,0.14
1.271,-1.45,0.97,0.04
1.279,-1.35,1.06,-0.07
1.281,-1.24,1.16,-0.17
1.286,-1.12,1.28,-0.25
1.291,-1.01,1.40,-0.31
1.296,-0.94,1.47,-0.30
1.301,-0.90,1.48,-0.23
1.306,-0.90,1.49,-0.12
1.311,-0.93,1.48,0.00
1.316,-0.98,1.44,0.15
1.322,-1.06,1.33,0.29
1.326,-1.15,1.17,0.42
1.331,-1.24,0.98,0.52
1.336,-1.32,0.80,0.57
1.341,-1.38,0.65,0.58
1.346,-1.41,0.52,0.54
1.351,-1.43,0.40,0.44
1.357,-1.44,0.29,0.28
1.361,-1.47,0.15,0.02
1.366,-1.50,0.03,-0.23
1.371,-1.49,-0.23,-0.45
1.377,-1.50,-0.27,-0.63
1.381,-1.56,-0.12,-0.76
1.387,-1.67,0.10,-0.85
1.392,-1.79,0.38,-0.89
1.397,-1.92,0.70,-0.87
1.401,-2.03,0.98,-0.80
1.407,-2.07,1.12,-0.68
1.411,-2.04,1.14,-0.50
1.417,-1.96,1.07,-0.27
1.426,-1.85,0.93,-0.02
1.427,-1.73,0.72,0.24
1.432,-1.63,0.44,0.45
1.444,-1.57,0.15,0.61
1.445,-1.57,-0.11,0.73
1.446,-1.62,-0.34,0.81
1.452,-1.71,-0.52,0.86
1.456,-1.82,-0.65,0.85
1.461,-1.93,-0.72,0.82
1.466,-2.04,-0.74,0.77
1.471,-2.15,-0.75,0.72
1.476,-2.26,-0.82,0.65
1.481,-2.35,-0.81,0.52
1.486,-2.42,-0.62,0.36
1.492,-2.44,-0.31,0.26
1.496,-2.42,0.01,0.16
1.502,-2.32,0.17,0.00
1.507,-2.13,-0.00,-0.24
1.511,-1.84,-0.16,-0.50
1.517,-1.57,-0.12,-0.64
