time,wx,wy,wz
0.004,-0.35,-0.32,-0.51
0.004,-0.35,-0.34,-0.50
0.004,-0.34,-0.34,-0.49
0.004,-0.32,-0.34,-0.49
0.004,-0.32,-0.31,-0.49
0.004,-0.32,-0.28,-0.50
0.005,-0.33,-0.23,-0.50
0.005,-0.34,-0.19,-0.50
0.013,-0.34,-0.14,-0.50
0.019,-0.34,-0.10,-0.48
0.020,-0.33,-0.08,-0.44
0.025,-0.31,-0.08,-0.38
0.034,-0.29,-0.08,-0.34
0.035,-0.32,-0.03,-0.27
0.039,-0.34,-0.08,-0.21
0.045,-0.36,-0.14,-0.18
0.050,-0.41,-0.18,-0.17
0.055,-0.47,-0.20,-0.19
0.060,-0.52,-0.21,-0.21
0.065,-0.56,-0.20,-0.23
0.070,-0.60,-0.19,-0.24
0.074,-0.63,-0.16,-0.26
0.080,-0.64,-0.13,-0.28
0.085,-0.65,-0.10,-0.30
0.089,-0.65,-0.10,-0.30
0.094,-0.66,-0.11,-0.29
0.100,-0.67,-0.15,-0.26
0.105,-0.70,-0.22,-0.22
0.110,-0.73,-0.32,-0.17
0.115,-0.76,-0.44,-0.09
0.120,-0.82,-0.55,0.05
0.125,-0.92,-0.66,0.22
0.141,-1.00,-0.78,0.35
0.141,-1.05,-0.91,0.46
0.141,-1.09,-1.04,0.58
0.145,-1.10,-1.15,0.68
0.151,-1.11,-1.25,0.76
0.155,-1.11,-1.32,0.83
0.160,-1.10,-1.37,0.87
0.171,-1.11,-1.39,0.89
0.171,-1.14,-1.39,0.87
0.175,-1.18,-1.37,0.83
0.180,-1.23,-1.32,0.77
0.185,-1.30,-1.20,0.70
0.190,-1.37,-1.03,0.64
0.195,-1.45,-0.82,0.59
0.200,-1.55,-0.60,0.56
0.205,-1.65,-0.40,0.54
0.210,-1.78,-0.24,0.52
0.215,-1.92,-0.10,0.51
0.220,-2.08,0.05,0.49
0.225,-2.24,0.21,0.45
0.241,-2.40,0.34,0.40
0.241,-2.52,0.37,0.34
0.242,-2.60,0.30,0.31
0.245,-2.61,0.20,0.32
0.250,-2.58,0.10,0.37
0.255,-2.50,-0.04,0.45
0.260,-2.40,-0.21,0.54
0.271,-2.29,-0.38,0.65
0.271,-2.18,-0.51,0.77
0.275,-2.09,-0.58,0.89
0.281,-2.04,-0.59,0.99
0.285,-2.04,-0.56,1.07
0.290,-2.09,-0.50,1.12
0.295,-2.18,-0.44,1.13
0.300,-2.27,-0.38,1.13
0.305,-2.36,-0.32,1.14
0.310,-2.44,-0.29,1.15
0.315,-2.51,-0.31,1.18
0.320,-2.56,-0.38,1.21
0.325,-2.59,-0.51,1.24
0.339,-2.62,-0.70,1.27
0.340,-2.64,-0.93,1.30
0.340,-2.65,-1.23,1.33
0.345,-2.67,-1.59,1.37
0.350,-2.67,-1.97,1.44
0.355,-2.65,-2.40,1.52
