time,wx,wy,wz
0.015,-2.92,0.56,0.56
0.016,-3.13,0.56,0.55
0.017,-3.32,0.55,0.53
0.017,-3.48,0.54,0.51
0.018,-3.61,0.52,0.49
0.018,-3.69,0.51,0.47
0.019,-3.74,0.51,0.45
0.020,-3.75,0.50,0.45
0.021,-3.72,0.49,0.45
0.021,-3.66,0.45,0.47
0.022,-3.56,0.40,0.50
0.022,-3.44,0.33,0.54
0.023,-3.30,0.26,0.58
0.023,-3.15,0.18,0.62
0.024,-2.99,0.12,0.66
0.024,-2.84,0.09,0.68
0.024,-2.70,0.08,0.70
0.029,-2.58,0.11,0.72
0.038,-2.48,0.19,0.74
0.063,-2.39,0.31,0.76
0.064,-2.32,0.46,0.78
0.064,-2.28,0.63,0.78
0.065,-2.24,0.79,0.77
0.065,-2.20,0.94,0.75
0.066,-2.18,1.06,0.71
0.077,-2.16,1.17,0.67
0.078,-2.14,1.28,0.64
0.078,-2.12,1.39,0.61
0.088,-2.11,1.51,0.60
0.089,-2.09,1.65,0.59
0.099,-2.09,1.79,0.59
0.100,-2.09,1.95,0.59
0.103,-2.10,2.12,0.60
0.109,-2.12,2.30,0.61
0.113,-2.15,2.48,0.63
0.118,-2.19,2.66,0.64
0.123,-2.25,2.85,0.65
0.128,-2.32,3.05,0.66
0.133,-2.41,3.24,0.68
0.138,-2.50,3.44,0.69
0.143,-2.58,3.61,0.71
0.148,-2.67,3.72,0.74
0.153,-2.78,3.69,0.78
0.159,-2.87,3.52,0.84
0.163,-2.89,3.24,0.90
0.169,-2.90,2.94,0.96
0.173,-2.92,2.68,1.01
0.178,-2.98,2.50,1.05
0.183,-3.05,2.37,1.05
0.201,-3.12,2.24,1.01
0.201,-3.17,2.10,0.91
0.202,-3.21,1.99,0.76
0.203,-3.23,1.93,0.56
0.209,-3.23,1.91,0.32
0.213,-3.23,1.88,0.09
0.218,-3.91,1.45,0.07
0.224,-7.36,2.38,0.21
0.228,-8.70,1.61,0.65
0.233,-8.38,1.15,0.92
0.238,-7.88,1.40,0.99
0.244,-7.05,1.41,1.04
0.249,-5.87,0.97,1.04
0.253,-4.32,-0.06,0.95
0.259,-2.78,-0.95,0.79
0.263,-1.60,-1.23,0.50
0.269,-0.70,-1.28,0.11
0.273,0.13,-1.54,-0.27
0.278,0.87,-1.93,-0.60
0.283,1.47,-2.31,-0.88
0.288,1.86,-2.65,-1.09
0.293,2.00,-3.11,-1.24
0.298,1.87,-3.72,-1.32
0.303,1.59,-4.26,-1.35
0.318,1.32,-4.56,-1.37
0.319,1.13,-4.75,-1.39
0.319,0.98,-4.97,-1.43
0.323,0.83,-5.10,-1.47
0.329,0.67,-4.97,-1.51
0.333,0.50,-4.60,-1.54
0.339,0.32,-4.07,-1.55
0.343,0.09,-3.44,-1.52
0.348,-0.14,-2.83,-1.45
0.353,-0.37,-2.38,-1.33
0.358,-0.56,-2.12,-1.16
0.363,-0.70,-2.04,-0.97
0.368,-0.79,-2.05,-0.76
0.374,-0.80,-2.04,-0.56
0.379,-0.75,-1.96,-0.38
0.384,-0.64,-1.80,-0.23
0.390,-0.49,-1.57,-0.13
0.394,-0.30,-1.34,-0.06
0.398,-0.11,-1.14,-0.02
0.403,0.06,-0.97,-0.00
0.418,0.19,-0.84,0.00
0.419,0.30,-0.73,-0.00
0.419,0.39,-0.62,-0.02
0.424,0.44,-0.52,-0.04
0.430,0.49,-0.46,-0.05
0.434,0.51,-0.41,-0.07
0.438,0.49,-0.38,-0.08
0.444,0.44,-0.41,-0.09
0.448,0.33,-0.49,-0.09
0.453,0.18,-0.64,-0.11
0.459,-0.02,-0.84,-0.12
0.463,-0.25,-1.06,-0.14
0.468,-0.48,-1.27,-0.16
0.474,-0.69,-1.46,-0.17
0.478,-0.85,-1.61,-0.16
0.484,-0.96,-1.76,-0.16
0.502,-1.00,-1.88,-0.15
0.503,-0.97,-1.98,-0.16
0.504,-0.86,-2.09,-0.19
0.504,-0.66,-2.19,-0.27
0.509,-0.40,-2.27,-0.40
0.513,-0.14,-2.31,-0.56
0.518,0.11,-2.34,-0.74
0.524,0.34,-2.42,-0.94
0.529,0.57,-2.56,-1.16
0.534,0.77,-2.69,-1.40
0.539,0.90,-2.74,-1.66
0.543,0.96,-2.72,-1.88
0.550,0.95,-2.65,-2.02
0.553,0.89,-2.57,-2.08
0.558,0.78,-2.46,-2.06
0.564,0.64,-2.34,-1.98
0.569,0.50,-2.23,-1.88
0.574,0.35,-2.11,-1.77
0.579,0.21,-1.96,-1.64
