time,wx,wy,wz
0.007,-0.43,-0.05,-0.06
0.008,-0.42,0.05,-0.05
0.008,-0.39,0.17,-0.03
0.008,-0.33,0.31,-0.00
0.008,-0.24,0.46,0.03
0.008,-0.15,0.63,0.06
0.009,-0.04,0.79,0.09
0.009,0.05,0.94,0.11
0.009,0.13,1.07,0.11
0.010,0.19,1.15,0.10
0.010,0.23,1.15,0.04
0.010,0.26,1.06,-0.07
0.010,0.26,0.91,-0.19
0.010,0.24,0.70,-0.31
0.011,0.19,0.41,-0.41
0.011,0.12,0.04,-0.48
0.011,0.02,-0.38,-0.52
0.011,-0.13,-0.80,-0.53
0.015,-0.29,-1.13,-0.54
0.020,-0.46,-1.37,-0.54
0.024,-0.61,-1.60,-0.52
0.034,-0.75,-1.82,-0.48
0.035,-0.86,-1.98,-0.44
0.039,-0.94,-2.11,-0.38
0.046,-1.00,-2.23,-0.31
0.050,-1.05,-2.32,-0.22
0.054,-1.10,-2.31,-0.11
0.059,-1.09,-2.07,0.02
0.064,-1.00,-1.57,0.18
0.068,-0.89,-1.12,0.29
0.074,-0.78,-0.82,0.35
0.079,-0.67,-0.55,0.38
0.084,-0.56,-0.30,0.40
0.088,-0.46,-0.09,0.42
0.094,-0.36,0.06,0.45
0.099,-0.28,0.15,0.47
0.104,-0.23,0.24,0.42
0.109,-0.20,0.35,0.32
0.114,-0.18,0.44,0.23
0.119,-0.15,0.49,0.14
0.124,-0.10,0.51,0.07
0.129,-0.01,0.48,-0.08
0.134,0.07,0.48,-0.25
0.139,0.05,0.60,-0.21
0.158,0.00,0.81,0.00
0.159,0.01,0.96,0.25
0.159,0.10,1.05,0.42
0.159,0.22,1.09,0.43
0.166,0.34,1.11,0.30
0.169,0.43,1.14,0.15
0.175,0.50,1.23,0.07
0.180,0.55,1.32,0.10
0.184,0.59,1.36,0.18
0.189,0.64,1.30,0.26
0.194,0.71,1.15,0.33
0.199,0.76,0.96,0.38
0.204,0.80,0.79,0.43
