time,wx,wy,wz
0.003,-0.10,-0.27,-0.40
0.004,-0.26,-0.38,-0.50
0.004,-0.42,-0.50,-0.60
0.004,-0.56,-0.62,-0.71
0.004,-0.66,-0.72,-0.80
0.005,-0.71,-0.81,-0.85
0.005,-0.72,-0.88,-0.89
0.008,-0.69,-0.94,-0.90
0.011,-0.60,-1.01,-0.89
0.017,-0.48,-1.04,-0.89
0.026,-0.34,-1.07,-0.89
0.027,-0.22,-1.11,-0.90
0.031,-0.11,-1.23,-0.92
0.037,-0.07,-1.45,-0.95
0.042,-0.10,-1.73,-0.98
0.047,-0.20,-2.07,-1.04
0.058,-0.32,-2.42,-1.14
0.059,-0.47,-2.73,-1.30
0.062,-0.61,-2.89,-1.48
0.066,-0.73,-2.87,-1.67
0.072,-0.79,-2.66,-1.84
0.076,-0.78,-2.31,-1.97
0.081,-0.66,-1.81,-2.03
0.087,-0.46,-1.17,-2.01
0.091,-0.18,-0.47,-1.92
0.096,0.12,0.23,-1.76
0.102,0.43,0.87,-1.57
0.106,0.68,1.47,-1.36
0.112,0.86,1.98,-1.16
0.116,0.98,2.38,-0.99
0.122,1.04,2.64,-0.84
0.127,1.05,2.77,-0.72
0.132,1.01,2.80,-0.63
0.146,0.91,2.74,-0.58
0.147,0.78,2.59,-0.54
0.147,0.64,2.38,-0.52
0.153,0.49,2.11,-0.52
0.157,0.35,1.83,-0.51
0.162,0.21,1.54,-0.52
0.167,0.09,1.28,-0.52
0.172,-0.03,1.04,-0.52
0.177,-0.13,0.83,-0.51
0.182,-0.26,0.66,-0.48
0.187,-0.41,0.51,-0.44
0.192,-0.54,0.35,-0.39
0.197,-0.61,0.18,-0.33
0.204,-0.64,0.01,-0.25
0.207,-0.65,-0.15,-0.14
0.212,-0.69,-0.27,-0.02
0.217,-0.76,-0.33,0.06
0.222,-0.82,-0.31,0.09
0.227,-0.87,-0.30,0.06
0.232,-0.90,-0.39,0.04
0.246,-0.90,-0.64,0.05
0.247,-0.84,-1.00,0.12
0.247,-0.77,-1.36,0.19
0.252,-0.70,-1.65,0.26
0.257,-0.64,-1.90,0.35
0.262,-0.57,-2.08,0.42
0.267,-0.51,-2.14,0.45
0.272,-0.46,-2.02,0.46
0.277,-0.40,-1.75,0.43
0.282,-0.37,-1.43,0.37
0.287,-0.38,-1.21,0.31
0.292,-0.40,-1.12,0.25
0.297,-0.43,-1.11,0.20
0.303,-0.47,-1.16,0.17
0.307,-0.53,-1.23,0.14
0.312,-0.61,-1.34,0.13
0.317,-0.69,-1.47,0.12
0.322,-0.77,-1.62,0.12
0.327,-0.86,-1.75,0.14
0.332,-0.97,-1.84,0.16
0.346,-1.09,-1.90,0.19
0.347,-1.20,-1.92,0.21
0.347,-1.29,-1.89,0.23
0.353,-1.35,-1.82,0.25
0.357,-1.40,-1.72,0.27
0.363,-1.44,-1.63,0.29
0.368,-1.48,-1.55,0.29
0.372,-1.49,-1.47,0.27
0.377,-1.43,-1.23,0.24
0.382,-1.07,-0.36,0.16
0.387,-0.38,0.75,0.05
0.392,0.16,0.99,-0.00
0.398,0.46,0.72,-0.05
0.403,0.72,0.48,-0.14
0.407,0.94,0.34,-0.24
0.412,1.11,0.28,-0.32
0.417,1.22,0.24,-0.36
0.423,1.27,0.23,-0.37
0.427,1.26,0.27,-0.36
0.432,1.20,0.28,-0.37
0.447,1.10,0.20,-0.42
0.448,0.98,0.06,-0.50
0.448,0.86,-0.07,-0.61
0.454,0.75,-0.15,-0.73
0.457,0.66,-0.17,-0.84
0.462,0.58,-0.17,-0.91
0.468,0.50,-0.15,-0.97
0.473,0.42,-0.10,-1.00
0.478,0.33,-0.07,-1.02
0.483,0.25,-0.09,-1.04
0.487,0.17,-0.14,-1.05
0.492,0.07,-0.20,-1.03
0.497,-0.05,-0.27,-1.00
0.502,-0.21,-0.34,-0.97
0.508,-0.43,-0.35,-0.98
0.512,-0.69,-0.36,-0.97
0.517,-0.93,-0.40,-0.88
0.523,-1.16,-0.51,-0.77
0.528,-1.40,-0.74,-0.68
0.532,-1.63,-0.99,-0.56
0.548,-1.83,-1.33,-0.43
0.549,-2.02,-1.66,-0.29
0.550,-2.22,-1.85,-0.10
0.553,-2.40,-1.93,0.12
0.557,-2.52,-1.95,0.30
0.563,-2.57,-1.95,0.41
0.567,-2.61,-1.95,0.47
0.573,-2.70,-1.94,0.50
0.577,-2.77,-1.96,0.52
0.583,-2.80,-1.98,0.53
0.588,-2.81,-1.97,0.54
0.592,-2.81,-1.93,0.56
0.597,-2.81,-1.87,0.58
0.602,-2.83,-1.79,0.62
0.607,-2.88,-1.73,0.66
0.612,-3.00,-1.59,0.72
0.617,-3.17,-1.51,0.75
0.623,-3.39,-1.54,0.75
0.627,-3.59,-1.62,0.70
0.632,-3.78,-1.66,0.64
0.648,-3.96,-1.69,0.57
0.649,-4.11,-1.73,0.49
0.649,-4.26,-1.75,0.42
0.653,-4.39,-1.77,0.35
0.658,-4.50,-1.72,0.28
0.663,-4.58,-1.64,0.23
0.667,-4.62,-1.57,0.19
0.673,-4.60,-1.58,0.17
0.678,-4.53,-1.70,0.15
0.683,-4.42,-1.93,0.15
0.689,-4.28,-2.22,0.17
0.693,-4.11,-2.53,0.23
0.697,-3.93,-2.87,0.34
0.702,-3.76,-3.20,0.48
0.708,-3.61,-3.50,0.65
0.713,-3.49,-3.76,0.81
0.718,-3.42,-3.95,0.95
0.723,-3.36,-4.09,1.08
0.728,-3.32,-4.19,1.17
0.733,-3.30,-4.27,1.23
0.748,-3.28,-4.35,1.24
0.749,-3.26,-4.43,1.22
0.749,-3.24,-4.51,1.18
0.752,-3.19,-4.59,1.15
0.757,-3.14,-4.66,1.15
0.763,-3.09,-4.73,1.19
0.768,-3.06,-4.80,1.25
0.773,-3.03,-4.92,1.31
0.778,-3.01,-5.02,1.32
0.783,-2.99,-5.04,1.29
0.789,-2.94,-5.07,1.23
0.793,-2.86,-5.08,1.15
0.798,-2.76,-4.96,1.07
0.803,-2.65,-4.75,0.99
0.807,-2.54,-4.48,0.93
0.812,-2.44,-4.16,0.88
0.817,-2.36,-3.87,0.84
0.823,-2.27,-3.68,0.78
0.827,-2.15,-3.59,0.71
0.834,-2.02,-3.58,0.65
0.838,-1.90,-3.61,0.60
0.848,-1.83,-3.65,0.55
0.848,-1.75,-3.76,0.51
0.852,-1.61,-3.88,0.46
0.858,-1.46,-3.98,0.38
0.862,-1.27,-4.10,0.28
0.867,-1.01,-4.27,0.17
0.872,-0.72,-4.38,0.07
0.877,-0.51,-4.39,-0.01
0.882,-0.42,-4.31,-0.09
0.889,-0.45,-4.19,-0.20
0.893,-0.54,-4.12,-0.32
0.898,-0.64,-4.10,-0.43
0.903,-0.72,-4.07,-0.51
0.908,-0.77,-4.01,-0.54
0.912,-0.78,-3.90,-0.55
0.917,-0.75,-3.72,-0.54
0.922,-0.69,-3.49,-0.53
0.927,-0.61,-3.23,-0.53
0.932,-0.52,-2.97,-0.54
0.937,-0.40,-2.75,-0.55
0.942,-0.28,-2.57,-0.54
0.948,-0.17,-2.39,-0.50
0.953,-0.08,-2.24,-0.40
0.958,-0.02,-2.11,-0.28
0.963,0.01,-1.98,-0.14
0.968,0.02,-1.87,-0.01
0.973,0.00,-1.78,0.10
0.977,-0.04,-1.67,0.19
0.983,-0.10,-1.54,0.25
0.987,-0.17,-1.41,0.29
0.992,-0.21,-1.27,0.29
0.997,-0.25,-1.10,0.27
1.002,-0.25,-0.94,0.24
1.008,-0.21,-0.80,0.19
1.013,-0.14,-0.68,0.12
1.018,-0.09,-0.53,0.04
1.023,-0.07,-0.41,-0.04
