time,wx,wy,wz
0.004,0.01,-0.04,-0.17
0.004,0.01,0.03,-0.16
0.004,0.01,0.08,-0.14
0.005,0.00,0.08,-0.12
0.005,-0.02,0.06,-0.12
0.005,-0.04,0.02,-0.12
0.005,-0.06,-0.00,-0.12
0.005,-0.08,-0.03,-0.12
0.005,-0.09,-0.04,-0.11
0.005,-0.09,-0.04,-0.11
0.006,-0.09,-0.04,-0.10
0.010,-0.08,-0.04,-0.10
0.016,-0.06,-0.04,-0.10
0.021,-0.05,-0.04,-0.11
0.041,-0.04,-0.02,-0.11
0.042,-0.04,-0.00,-0.11
0.042,-0.04,0.01,-0.11
0.042,-0.05,0.03,-0.10
0.053,-0.05,0.05,-0.09
0.054,-0.06,0.07,-0.08
0.056,-0.06,0.08,-0.08
0.065,-0.06,0.08,-0.08
0.066,-0.06,0.08,-0.08
0.071,-0.07,0.06,-0.09
0.077,-0.06,0.03,-0.11
0.081,-0.05,0.00,-0.14
0.086,-0.04,-0.03,-0.15
0.092,-0.04,-0.06,-0.17
0.096,-0.03,-0.08,-0.17
0.101,-0.03,-0.10,-0.18
0.106,-0.01,-0.12,-0.18
0.111,0.01,-0.12,-0.18
0.116,0.05,-0.11,-0.18
0.121,0.11,-0.07,-0.17
0.126,0.18,-0.02,-0.16
0.131,0.24,0.03,-0.15
0.136,0.29,0.08,-0.15
0.157,0.32,0.14,-0.17
0.157,0.32,0.14,-0.18
0.158,0.30,0.10,-0.21
0.158,0.26,0.04,-0.23
0.162,0.22,0.02,-0.25
0.172,0.19,0.01,-0.27
0.173,0.17,0.02,-0.28
0.180,0.17,0.05,-0.29
0.182,0.20,0.10,-0.31
0.186,0.22,0.13,-0.32
0.192,0.25,0.14,-0.33
0.196,0.25,0.12,-0.35
0.201,0.24,0.07,-0.36
0.206,0.19,0.01,-0.36
0.211,0.12,-0.11,-0.36
0.216,0.03,-0.24,-0.35
0.221,-0.04,-0.28,-0.33
0.226,-0.10,-0.27,-0.31
0.231,-0.12,-0.22,-0.29
0.236,-0.12,-0.16,-0.27
0.254,-0.09,-0.11,-0.26
0.254,-0.05,-0.05,-0.25
0.254,-0.00,0.01,-0.24
0.256,0.04,0.08,-0.23
0.261,0.08,0.14,-0.22
0.266,0.11,0.18,-0.21
0.271,0.13,0.18,-0.19
0.277,0.14,0.14,-0.17
0.282,0.15,0.08,-0.16
0.286,0.14,0.01,-0.15
0.293,0.14,-0.07,-0.14
0.296,0.13,-0.14,-0.14
0.301,0.12,-0.18,-0.14
0.307,0.10,-0.20,-0.15
0.311,0.09,-0.20,-0.16
0.317,0.08,-0.20,-0.17
0.322,0.06,-0.21,-0.18
0.327,0.03,-0.21,-0.19
0.331,-0.01,-0.21,-0.20
0.336,-0.04,-0.19,-0.20
0.354,-0.07,-0.16,-0.19
0.355,-0.08,-0.13,-0.18
0.355,-0.08,-0.13,-0.17
0.356,-0.09,-0.16,-0.16
0.362,-0.11,-0.18,-0.15
0.367,-0.12,-0.19,-0.14
0.371,-0.14,-0.19,-0.14
0.377,-0.16,-0.22,-0.14
0.381,-0.20,-0.28,-0.14
0.386,-0.25,-0.34,-0.14
0.391,-0.31,-0.42,-0.15
0.397,-0.39,-0.50,-0.16
0.402,-0.46,-0.57,-0.16
0.406,-0.52,-0.65,-0.18
0.412,-0.58,-0.70,-0.19
0.417,-0.62,-0.71,-0.19
