time,wx,wy,wz
0.004,0.03,-0.55,-0.47
0.004,0.21,-0.35,-0.50
0.004,0.55,0.02,-0.56
0.005,0.78,0.09,-0.59
0.005,0.74,-0.07,-0.55
0.005,0.52,-0.22,-0.51
0.005,0.21,-0.33,-0.48
0.005,-0.14,-0.53,-0.50
0.006,-0.49,-0.82,-0.55
0.009,-0.82,-1.10,-0.60
0.015,-1.17,-1.25,-0.61
0.017,-1.53,-1.25,-0.55
0.021,-1.78,-1.34,-0.47
0.034,-1.89,-1.57,-0.40
0.035,-1.96,-1.78,-0.37
0.037,-2.07,-1.90,-0.36
0.050,-2.16,-1.93,-0.32
0.051,-2.22,-1.88,-0.29
0.052,-2.34,-1.76,-0.29
0.057,-2.56,-1.59,-0.32
0.062,-2.86,-1.43,-0.31
0.067,-3.20,-1.36,-0.27
0.072,-3.55,-1.40,-0.17
0.077,-3.84,-1.48,-0.05
0.081,-4.10,-1.54,0.11
0.087,-4.39,-1.55,0.32
0.102,-4.71,-1.53,0.56
0.103,-5.02,-1.57,0.80
0.103,-5.21,-1.68,1.00
0.107,-5.28,-1.82,1.17
0.112,-5.23,-1.97,1.33
0.117,-5.07,-2.14,1.48
0.122,-4.83,-2.29,1.62
0.127,-4.56,-2.47,1.71
0.132,-4.35,-2.83,1.78
0.137,-4.24,-3.20,1.84
0.142,-4.16,-3.34,1.88
0.147,-4.12,-3.32,1.90
0.152,-4.12,-3.25,1.89
0.158,-4.16,-3.22,1.83
0.162,-4.24,-3.27,1.75
0.167,-4.35,-3.34,1.70
0.173,-4.50,-3.33,1.68
0.185,-4.68,-3.22,1.68
0.186,-4.88,-3.06,1.66
0.187,-5.07,-2.90,1.60
0.202,-5.20,-2.75,1.52
0.203,-5.25,-2.58,1.42
0.204,-5.22,-2.39,1.34
0.219,-5.12,-2.18,1.29
0.220,-4.94,-1.94,1.26
0.221,-4.71,-1.69,1.24
0.222,-4.43,-1.43,1.22
0.237,-4.17,-1.16,1.18
0.238,-3.91,-0.97,1.17
0.238,-3.66,-0.86,1.13
0.252,-3.49,-0.84,1.04
0.253,-3.39,-0.78,0.91
0.253,-3.28,-0.65,0.79
0.269,-3.17,-0.55,0.69
0.270,-3.08,-0.58,0.61
0.270,-2.99,-0.71,0.55
0.272,-2.88,-0.88,0.50
0.279,-2.78,-1.07,0.45
0.282,-2.68,-1.27,0.39
0.287,-2.59,-1.47,0.33
0.309,-2.50,-1.68,0.27
0.310,-2.40,-1.83,0.20
0.310,-2.28,-1.92,0.11
0.311,-2.14,-1.95,0.01
0.313,-1.98,-1.93,-0.09
0.321,-1.59,-2.06,-0.20
0.322,-0.28,-2.77,-0.40
0.333,1.20,-3.29,-0.58
0.333,1.91,-3.43,-0.62
0.337,2.00,-3.39,-0.55
0.347,1.69,-3.27,-0.42
0.347,1.20,-3.21,-0.28
0.352,0.73,-3.37,-0.11
0.361,0.41,-3.65,0.09
0.362,0.22,-3.89,0.29
0.367,0.07,-4.01,0.46
0.372,-0.09,-3.98,0.56
0.377,-0.28,-3.81,0.56
0.382,-0.45,-3.54,0.47
0.387,-0.52,-3.23,0.32
0.392,-0.48,-2.91,0.11
0.397,-0.38,-2.56,-0.10
0.402,-0.24,-2.22,-0.29
0.417,-0.08,-1.95,-0.44
0.417,0.01,-1.65,-0.49
0.418,-0.01,-1.34,-0.46
0.422,-0.09,-1.11,-0.38
0.434,-0.12,-1.05,-0.29
0.435,-0.01,-1.12,-0.20
0.438,0.15,-1.19,-0.13
0.446,0.26,-1.17,-0.07
0.447,0.29,-1.06,-0.04
0.453,0.29,-0.94,-0.05
0.459,0.28,-0.85,-0.13
0.462,0.26,-0.81,-0.27
0.467,0.28,-0.84,-0.46
0.472,0.29,-0.94,-0.67
0.478,0.28,-1.12,-0.83
0.482,0.24,-1.29,-0.96
0.487,0.20,-1.44,-1.08
0.500,0.15,-1.55,-1.21
0.501,0.03,-1.59,-1.34
0.502,-0.18,-1.54,-1.45
0.508,-0.21,-1.49,-1.51
0.512,0.07,-1.44,-1.51
0.517,0.45,-1.19,-1.52
0.523,0.75,-0.84,-1.52
0.529,0.81,-0.51,-1.54
0.533,0.64,-0.20,-1.57
0.537,0.43,0.05,-1.56
0.543,0.29,0.22,-1.51
0.547,0.25,0.29,-1.41
0.552,0.25,0.38,-1.27
0.559,0.24,0.49,-1.20
0.562,0.17,0.61,-1.07
0.567,0.12,0.71,-0.93
0.572,0.08,0.76,-0.80
0.577,0.03,0.75,-0.68
0.582,-0.05,0.68,-0.57
0.587,-0.17,0.59,-0.45
0.592,-0.29,0.48,-0.35
0.597,-0.36,0.33,-0.31
0.602,-0.39,0.11,-0.37
0.615,-0.42,-0.14,-0.44
0.615,-0.47,-0.37,-0.44
0.618,-0.52,-0.51,-0.39
0.623,-0.55,-0.59,-0.31
0.632,-0.57,-0.67,-0.23
0.633,-0.56,-0.74,-0.15
0.638,-0.51,-0.81,-0.09
