time,wx,wy,wz
0.004,0.28,-0.38,0.41
0.004,0.26,-0.37,0.46
0.004,0.23,-0.37,0.51
0.004,0.20,-0.36,0.56
0.004,0.17,-0.36,0.62
0.004,0.13,-0.35,0.67
0.012,0.09,-0.34,0.71
0.021,0.05,-0.31,0.74
0.021,0.03,-0.28,0.77
0.029,0.02,-0.25,0.77
0.030,0.02,-0.21,0.76
0.034,0.03,-0.18,0.72
0.039,0.07,-0.18,0.67
0.045,0.12,-0.19,0.60
0.049,0.17,-0.20,0.54
0.054,0.20,-0.21,0.49
0.059,0.22,-0.20,0.46
0.065,0.22,-0.20,0.45
0.070,0.22,-0.20,0.47
0.078,0.21,-0.20,0.49
0.080,0.19,-0.20,0.51
0.084,0.16,-0.18,0.55
0.090,0.13,-0.15,0.59
0.094,0.08,-0.10,0.65
0.099,0.03,-0.04,0.70
0.104,-0.01,0.02,0.74
0.110,-0.04,0.08,0.77
0.114,-0.06,0.17,0.74
0.119,-0.05,0.25,0.67
0.124,-0.04,0.30,0.56
0.129,-0.02,0.33,0.43
0.134,0.03,0.32,0.30
0.139,0.12,0.24,0.19
0.144,0.23,0.15,0.09
0.149,0.34,0.06,0.02
0.154,0.46,-0.05,0.01
0.159,0.56,-0.21,0.02
0.165,0.65,-0.38,0.03
0.169,0.70,-0.51,0.05
0.178,0.74,-0.57,0.06
0.180,0.76,-0.59,0.06
0.185,0.75,-0.60,0.08
0.190,0.72,-0.64,0.09
0.195,0.69,-0.65,0.11
0.199,0.65,-0.63,0.12
0.204,0.60,-0.58,0.14
0.209,0.55,-0.52,0.16
0.214,0.51,-0.47,0.18
0.219,0.48,-0.43,0.18
0.226,0.48,-0.41,0.15
0.230,0.52,-0.37,0.09
0.235,0.56,-0.29,0.02
0.239,0.58,-0.15,-0.13
0.245,0.65,0.08,-0.34
0.250,0.75,0.41,-0.71
0.255,0.78,0.69,-1.16
0.260,0.70,0.69,-1.42
0.265,0.53,0.55,-1.48
0.270,0.41,0.60,-1.43
0.275,0.32,0.69,-1.42
0.280,0.11,0.60,-1.44
0.285,-0.17,0.49,-1.41
0.290,-0.46,0.55,-1.39
0.295,-0.66,0.80,-1.30
0.300,-0.75,1.03,-1.00
0.305,-0.71,1.05,-0.58
0.310,-0.59,0.81,-0.30
0.314,-0.48,0.52,-0.19
0.320,-0.37,0.30,-0.13
0.324,-0.29,0.18,-0.04
0.330,-0.28,0.14,0.09
0.335,-0.32,0.20,0.24
0.339,-0.37,0.37,0.31
0.344,-0.38,0.60,0.30
0.350,-0.32,0.81,0.28
0.354,-0.26,0.99,0.24
0.359,-0.22,1.10,0.14
0.365,-0.17,1.10,-0.01
0.370,-0.04,0.98,-0.19
0.375,0.11,0.70,-0.34
0.381,0.28,0.38,-0.42
0.385,0.41,0.13,-0.43
0.390,0.28,0.03,-0.30
0.395,0.16,0.09,-0.15
0.400,0.13,0.20,-0.05
0.404,0.17,0.39,0.05
0.410,0.20,0.70,0.16
0.414,0.26,1.04,0.29
0.420,0.23,1.17,0.45
0.425,0.23,1.13,0.63
0.430,0.31,1.08,0.77
0.435,0.37,1.02,0.85
0.439,0.39,0.93,0.90
0.445,0.41,0.85,0.93
0.450,0.41,0.73,0.93
0.454,0.42,0.57,0.94
0.460,0.48,0.46,0.98
0.465,0.55,0.44,1.03
0.470,0.55,0.50,1.07
0.475,0.45,0.56,1.15
0.480,0.32,0.53,1.27
0.485,0.22,0.43,1.35
0.490,0.14,0.31,1.40
0.496,0.09,0.16,1.51
0.500,0.05,0.01,1.63
0.505,0.03,-0.14,1.70
0.510,-0.04,-0.30,1.77
0.515,-0.12,-0.44,1.85
0.521,-0.12,-0.43,1.90
0.525,0.15,-0.03,1.92
0.531,0.38,0.59,1.91
0.535,0.29,0.95,1.91
0.540,0.14,0.95,1.90
0.546,0.03,0.78,1.92
0.551,-0.07,0.67,1.92
0.555,-0.18,0.57,1.88
0.561,-0.24,0.42,1.83
0.565,-0.28,0.29,1.80
0.570,-0.39,0.19,1.77
0.575,-0.56,0.10,1.74
0.580,-0.68,-0.03,1.70
0.585,-0.73,-0.19,1.67
0.591,-0.75,-0.31,1.62
0.606,-0.76,-0.37,1.57
0.607,-0.70,-0.43,1.49
0.607,-0.57,-0.60,1.39
0.611,-0.47,-0.75,1.34
0.616,-0.40,-0.77,1.37
0.621,-0.36,-0.61,1.47
0.626,-0.31,-0.37,1.51
0.631,-0.25,-0.12,1.40
0.636,-0.18,0.08,1.19
0.640,-0.11,0.20,0.90
0.646,-0.06,0.23,0.53
0.651,-0.02,0.19,0.14
0.656,0.02,0.14,-0.14
0.662,0.05,0.15,-0.19
0.666,0.05,0.19,-0.18
0.671,0.05,0.20,-0.18
0.676,0.04,0.18,-0.18
0.681,0.02,0.14,-0.16
0.686,0.02,0.11,-0.10
0.691,0.01,0.08,-0.04
0.707,0.00,0.06,-0.02
0.707,-0.01,0.02,-0.00
0.707,-0.02,-0.02,0.02
0.712,-0.03,-0.04,0.03
0.716,-0.05,-0.04,0.02
0.721,-0.06,-0.03,0.02
0.726,-0.06,-0.01,-0.00
0.732,-0.04,-0.01,-0.02
0.736,-0.03,0.00,-0.03
0.741,-0.03,0.02,-0.02
0.747,-0.03,0.03,-0.02
0.751,-0.03,0.03,-0.01
0.756,-0.04,0.03,-0.00
0.762,-0.04,0.03,-0.00
0.766,-0.04,0.02,0.00
0.771,-0.04,0.02,0.01
0.776,-0.04,0.00,0.02
0.782,-0.05,-0.01,0.03
0.786,-0.06,-0.02,0.03
0.791,-0.06,-0.03,0.03
0.808,-0.06,-0.03,0.04
0.809,-0.05,-0.02,0.04
0.809,-0.05,-0.03,0.04
0.812,-0.05,-0.02,0.04
0.816,-0.04,-0.02,0.04
0.822,-0.04,-0.01,0.04
0.827,-0.03,0.00,0.04
0.832,-0.03,0.02,0.04
0.836,-0.02,0.03,0.04
0.841,-0.02,0.03,0.04
0.845,-0.02,0.04,0.04
0.852,-0.02,0.05,0.04
0.856,-0.02,0.04,0.04
0.862,-0.03,0.02,0.03
0.866,-0.04,0.02,0.02
0.871,-0.04,0.01,0.02
0.876,-0.05,-0.01,0.01
0.881,-0.06,-0.03,0.01
0.886,-0.06,-0.04,-0.00
0.891,-0.07,-0.06,-0.01
0.901,-0.07,-0.08,-0.01
0.902,-0.07,-0.09,-0.02
0.906,-0.07,-0.10,-0.02
0.916,-0.07,-0.10,-0.03
0.917,-0.08,-0.10,-0.03
0.920,-0.08,-0.10,-0.03
0.925,-0.08,-0.10,-0.03
0.931,-0.08,-0.09,-0.03
0.935,-0.08,-0.08,-0.03
0.940,-0.08,-0.07,-0.02
0.945,-0.08,-0.06,-0.02
0.951,-0.08,-0.05,-0.02
0.956,-0.07,-0.05,-0.01
0.962,-0.07,-0.04,-0.01
0.966,-0.06,-0.04,-0.00
0.971,-0.06,-0.04,-0.00
0.976,-0.06,-0.04,0.00
0.981,-0.05,-0.04,0.01
0.986,-0.05,-0.05,0.01
0.991,-0.05,-0.05,0.01
1.003,-0.05,-0.06,0.01
1.003,-0.05,-0.06,0.01
1.026,-0.04,-0.06,0.02
1.027,-0.03,-0.07,0.02
1.028,-0.03,-0.06,0.02
1.028,-0.02,-0.05,0.03
1.028,-0.02,-0.04,0.03
1.032,-0.01,-0.03,0.03
1.036,-0.01,-0.01,0.03
1.041,-0.01,0.01,0.03
1.046,-0.01,0.02,0.04
1.051,-0.00,0.04,0.04
1.056,-0.01,0.05,0.04
1.063,-0.01,0.05,0.04
1.066,-0.01,0.06,0.04
1.071,-0.01,0.06,0.04
1.076,-0.01,0.06,0.04
1.082,-0.01,0.06,0.04
1.086,-0.01,0.06,0.04
1.091,-0.01,0.05,0.04
1.099,-0.02,0.04,0.04
1.101,-0.02,0.04,0.03
1.106,-0.03,0.04,0.03
1.114,-0.03,0.04,0.03
1.115,-0.04,0.04,0.04
1.122,-0.04,0.03,0.04
1.126,-0.05,0.03,0.04
1.131,-0.05,0.02,0.05
1.135,-0.06,0.02,0.05
1.140,-0.06,0.02,0.05
1.146,-0.06,0.01,0.05
1.151,-0.06,0.01,0.05
1.155,-0.07,0.01,0.05
1.162,-0.07,0.00,0.05
1.166,-0.07,-0.00,0.05
1.172,-0.07,0.00,0.05
1.177,-0.07,0.01,0.05
1.183,-0.07,0.01,0.05
1.186,-0.07,0.01,0.05
1.191,-0.07,0.02,0.05
1.206,-0.07,0.02,0.05
1.206,-0.07,0.03,0.05
1.207,-0.07,0.03,0.05
1.211,-0.06,0.03,0.05
1.227,-0.06,0.03,0.05
1.228,-0.05,0.04,0.05
1.228,-0.05,0.04,0.05
1.231,-0.04,0.04,0.05
1.235,-0.03,0.04,0.05
1.241,-0.02,0.04,0.05
1.246,-0.02,0.04,0.05
1.252,-0.01,0.04,0.05
1.256,-0.01,0.04,0.04
1.261,-0.01,0.04,0.04
1.267,-0.01,0.04,0.04
