time,wx,wy,wz
0.003,-0.17,-0.43,0.28
0.003,-0.16,-0.47,0.28
0.003,-0.15,-0.50,0.28
0.003,-0.17,-0.52,0.27
0.003,-0.20,-0.53,0.26
0.003,-0.24,-0.56,0.22
0.003,-0.29,-0.62,0.17
0.004,-0.35,-0.69,0.12
0.004,-0.41,-0.76,0.08
0.004,-0.48,-0.82,0.04
0.013,-0.56,-0.89,0.01
0.023,-0.67,-0.95,-0.02
0.024,-0.80,-1.00,-0.03
0.024,-0.95,-1.06,-0.01
0.032,-1.13,-1.10,0.05
0.038,-1.32,-1.19,0.13
0.039,-1.54,-1.31,0.21
0.045,-1.80,-1.46,0.41
0.049,-2.07,-1.68,0.68
0.053,-2.28,-1.96,0.88
0.059,-2.45,-2.27,1.01
0.063,-2.58,-2.57,1.10
0.069,-2.66,-2.84,1.16
0.073,-2.70,-3.05,1.19
0.088,-2.69,-3.22,1.19
0.089,-2.63,-3.37,1.18
0.089,-2.53,-3.52,1.15
0.095,-2.41,-3.64,1.13
0.098,-2.27,-3.75,1.12
0.105,-2.13,-3.84,1.14
0.109,-2.02,-3.91,1.21
0.113,-1.98,-3.94,1.30
0.118,-2.00,-3.97,1.40
0.123,-2.07,-4.01,1.48
0.128,-2.17,-4.07,1.55
0.133,-2.29,-4.09,1.61
0.139,-2.42,-4.04,1.65
0.144,-2.55,-3.92,1.68
0.149,-2.70,-3.75,1.69
0.154,-2.88,-3.51,1.69
0.159,-3.11,-3.18,1.66
0.163,-3.38,-2.82,1.57
0.169,-3.62,-2.52,1.42
0.173,-3.81,-2.27,1.25
0.189,-3.93,-2.09,1.08
0.189,-3.96,-2.01,0.93
0.190,-3.89,-2.00,0.85
0.194,-3.75,-2.05,0.85
0.199,-3.56,-2.16,0.92
0.204,-3.34,-2.33,1.04
0.209,-3.13,-2.55,1.18
0.213,-2.96,-2.78,1.30
0.219,-2.83,-3.00,1.41
0.223,-2.76,-3.21,1.49
0.229,-2.75,-3.45,1.52
0.234,-2.79,-3.70,1.52
0.239,-2.85,-3.91,1.51
0.245,-2.95,-4.03,1.49
0.249,-3.06,-4.06,1.46
0.254,-3.16,-4.00,1.40
0.258,-3.22,-3.89,1.33
0.264,-3.24,-3.73,1.26
0.269,-3.21,-3.52,1.20
0.274,-3.14,-3.26,1.15
0.280,-3.05,-2.95,1.11
0.284,-2.93,-2.64,1.09
0.289,-2.80,-2.38,1.06
0.294,-2.67,-2.18,1.01
0.299,-2.52,-2.06,0.96
0.304,-2.37,-1.96,0.90
0.309,-2.22,-1.88,0.84
0.314,-2.07,-1.84,0.77
0.319,-1.92,-1.86,0.70
0.324,-1.79,-1.93,0.64
0.329,-1.67,-2.03,0.59
0.334,-1.57,-2.16,0.55
0.339,-1.49,-2.30,0.52
0.344,-1.44,-2.42,0.49
0.349,-1.41,-2.53,0.46
0.354,-1.40,-2.59,0.43
0.359,-1.41,-2.59,0.40
0.364,-1.42,-2.52,0.35
0.369,-1.45,-2.34,0.28
0.374,-1.47,-2.07,0.18
0.381,-1.49,-1.75,0.04
0.384,-1.49,-1.41,-0.11
0.389,-1.47,-1.08,-0.27
0.394,-1.43,-0.81,-0.40
0.399,-1.36,-0.64,-0.52
0.404,-1.18,-0.62,-0.62
0.409,-0.88,-0.73,-0.69
0.414,-0.56,-0.97,-0.67
0.419,-0.29,-1.24,-0.58
0.424,-0.12,-1.51,-0.48
0.429,-0.06,-1.79,-0.41
0.434,-0.06,-2.07,-0.38
0.439,-0.08,-2.34,-0.39
0.444,-0.04,-2.57,-0.41
0.449,0.07,-2.73,-0.44
0.454,0.19,-2.80,-0.48
0.459,0.30,-2.82,-0.52
0.464,0.39,-2.77,-0.54
0.469,0.44,-2.67,-0.57
0.474,0.43,-2.56,-0.61
0.481,0.38,-2.47,-0.66
0.484,0.32,-2.41,-0.69
0.489,0.31,-2.40,-0.69
0.493,0.31,-2.36,-0.68
0.498,0.28,-2.22,-0.68
0.504,0.23,-1.97,-0.69
0.509,0.19,-1.68,-0.72
0.514,0.20,-1.36,-0.74
0.519,0.29,-1.02,-0.76
0.524,0.42,-0.69,-0.75
0.529,0.55,-0.40,-0.73
0.534,0.64,-0.17,-0.70
0.539,0.67,-0.01,-0.68
0.544,0.69,0.10,-0.66
0.549,0.70,0.18,-0.63
0.554,0.70,0.25,-0.61
0.559,0.71,0.27,-0.58
0.564,0.91,-0.03,-0.30
0.569,1.12,-0.32,-0.05
0.574,1.16,-0.49,-0.05
0.581,1.15,-0.58,-0.03
0.584,1.00,-0.48,-0.07
0.589,0.76,-0.31,-0.16
0.594,0.52,-0.18,-0.27
0.599,0.32,-0.10,-0.36
0.604,0.19,-0.07,-0.43
0.609,0.14,-0.10,-0.47
0.614,0.21,-0.25,-0.49
0.619,0.40,-0.53,-0.47
0.624,0.55,-0.73,-0.44
0.629,0.61,-0.76,-0.41
0.635,0.56,-0.62,-0.40
0.640,0.45,-0.39,-0.40
0.647,0.38,-0.17,-0.41
0.650,0.39,-0.01,-0.44
0.655,0.49,0.16,-0.44
0.660,0.62,0.33,-0.39
0.665,0.74,0.51,-0.32
0.670,0.82,0.67,-0.24
0.675,0.85,0.77,-0.16
0.692,0.84,0.82,-0.08
0.692,0.79,0.92,0.02
0.693,0.75,1.20,0.16
0.695,0.72,1.45,0.26
0.700,0.67,1.52,0.37
0.705,0.57,1.46,0.51
0.710,0.39,1.29,0.63
0.715,0.16,1.03,0.74
0.720,-0.08,0.75,0.81
0.725,-0.27,0.53,0.82
0.731,-0.34,0.52,0.74
0.735,-0.31,0.77,0.57
0.740,-0.21,1.13,0.33
0.745,-0.11,1.49,0.09
0.750,-0.05,1.74,-0.08
0.755,-0.06,1.87,-0.13
0.759,-0.09,1.92,-0.05
0.765,-0.09,1.86,0.15
0.769,-0.04,1.71,0.42
0.775,0.08,1.55,0.55
0.791,0.27,1.40,0.51
0.792,0.47,1.27,0.42
0.792,0.49,1.07,0.33
0.795,0.20,0.80,0.24
0.800,-0.23,0.58,0.13
0.805,-0.59,0.46,-0.06
0.810,-0.85,0.36,-0.37
0.817,-1.14,0.17,-0.74
0.819,-1.46,-0.15,-0.88
0.825,-1.50,-0.36,-0.49
0.831,-0.97,-0.56,0.07
0.835,-0.02,-0.81,0.46
0.840,0.84,-1.00,0.59
0.845,1.18,-1.00,0.54
0.850,0.97,-0.71,0.38
0.857,0.67,-0.50,0.17
0.859,0.56,-0.40,0.00
0.864,0.50,-0.30,-0.10
0.870,0.47,-0.34,-0.05
0.875,0.34,-0.37,0.07
0.884,0.20,-0.34,0.14
0.885,0.12,-0.27,0.15
0.889,0.09,-0.08,0.15
0.895,0.09,0.09,0.14
0.899,0.10,0.21,0.17
0.904,0.10,0.23,0.21
0.909,0.07,0.07,0.29
0.914,0.04,-0.18,0.34
0.919,0.02,-0.46,0.34
0.924,-0.01,-0.73,0.34
0.931,-0.05,-0.99,0.36
0.934,-0.12,-1.25,0.44
0.939,-0.15,-1.45,0.53
0.944,-0.16,-1.57,0.63
0.950,-0.17,-1.49,0.74
0.954,-0.29,-1.27,0.81
0.959,-0.52,-1.00,0.82
0.964,-0.65,-0.71,0.81
0.970,-0.59,-0.35,0.83
0.974,-0.37,0.17,0.82
0.981,-0.14,0.65,0.81
0.985,0.03,0.90,0.81
0.991,0.11,0.88,0.78
0.995,0.15,0.67,0.74
1.004,0.15,0.38,0.72
1.005,0.12,0.04,0.74
1.011,0.08,-0.33,0.77
1.024,0.05,-0.61,0.81
1.025,0.04,-0.74,0.82
1.025,0.07,-0.69,0.78
1.034,0.11,-0.51,0.75
1.035,0.19,-0.22,0.78
1.040,0.30,0.15,0.86
1.045,0.41,0.48,0.99
1.050,0.49,0.69,1.17
1.055,0.55,0.78,1.39
1.060,0.59,0.80,1.63
1.065,0.62,0.78,1.88
1.070,0.65,0.77,2.09
1.075,0.66,0.74,2.24
1.087,0.60,0.72,2.29
1.088,0.55,0.68,2.14
1.094,0.59,0.50,1.84
1.095,0.63,0.23,1.54
1.105,0.63,-0.03,1.27
1.106,0.61,-0.31,1.09
1.110,0.60,-0.54,0.95
1.116,0.58,-0.66,0.82
1.119,0.54,-0.68,0.74
1.124,0.43,-0.62,0.71
1.130,0.30,-0.59,0.71
1.134,0.17,-0.57,0.73
1.139,0.06,-0.54,0.75
1.144,-0.04,-0.49,0.72
1.151,-0.16,-0.42,0.67
1.155,-0.30,-0.36,0.62
1.159,-0.44,-0.33,0.63
1.165,-0.59,-0.35,0.67
1.170,-0.74,-0.35,0.75
1.175,-0.84,-0.34,0.88
1.187,-0.93,-0.37,0.98
1.188,-1.05,-0.30,1.03
1.191,-1.18,-0.12,1.04
1.195,-1.28,0.00,1.01
